STT,SYS_DATETIME,NE_NAME,DEVICE_CODE,BEARER_MME_UTIL,BEARER_4G,CREATE_DEDICATED_BEARER_SR,CSFB_SR,DEDICATED_BEARER_MME,EASR,INTRA_TAU_SR,PGW_BEARER_SR,PGW_BEARER_UTIL,S1_INTRA_HANDOVER_SR,S1_PAGGING_SR,SAU_4G,SAU_UTIL_4G,SERVICE_REQUEST_SR,SGW_BEARER_SR,SG_LU_SR,SMS_PAGGING_SR,THROUGHPUT_4G,THROUGHPUT_UTIL,NO_PGW_IMS_BEARER,NO_PGW_IMS_SUBS,NO_PGW_SUBS,SYS_DATE,SYS_TIME
54665,2026-08-02 07:10:00,NE_000019,DEV_000019,,1936958.3404408079,,,,,,102.45247660890453,44.48657105899908,,,,,,97.77610305577895,,,42963.50687950469,30.33125138868217,1201409.3622731508,992991.9949641865,1278218.1914646863,2026-08-02,07:10:00
54570,2026-08-02 07:35:00,NE_000019,DEV_000019,,2014542.7512513446,,,,,,97.05050221693422,41.24651507141837,,,,,,103.88745003859509,,,45985.394634255405,29.387413670937022,1305361.638046379,985731.0729060809,1302530.1929877065,2026-08-02,07:35:00
54323,2026-08-02 08:45:00,NE_000019,DEV_000019,,2068402.4096798883,,,,,,100.46928765041254,44.21610171974734,,,,,,98.41071662716065,,,51887.759612862625,37.312053578821036,1213788.787009571,969991.3409672457,1394295.3562575725,2026-08-02,08:45:00
54136,2026-08-02 09:40:00,NE_000019,DEV_000019,,2075679.9890746016,,,,,,104.43862820844895,45.18843698761236,,,,,,98.0880142103238,,,54797.74681936064,39.707203018683806,1251404.327107424,927545.1289705152,1312625.3092644599,2026-08-02,09:40:00
54038,2026-08-02 10:05:00,NE_000019,DEV_000019,,1935950.5192557587,,,,,,101.62544946743499,46.34047802681591,,,,,,103.98072895412484,,,57772.216819288384,43.029632076124955,1280317.8684916906,935279.3339174946,1348358.6645287278,2026-08-02,10:05:00
53876,2026-08-02 10:50:00,NE_000019,DEV_000019,,2015644.5549799688,,,,,,104.20672535951073,46.20910216367273,,,,,,97.17529420001864,,,60181.9462208514,39.991368522036986,1199081.2869204318,926133.9811493718,1296997.8852714137,2026-08-02,10:50:00
53696,2026-08-02 11:40:00,NE_000019,DEV_000019,,1970082.3794258814,,,,,,100.46461807823535,47.17550288836588,,,,,,97.4714983164158,,,63994.75253460223,45.39524099052103,1202140.972880453,924785.2682953668,1325354.5809036845,2026-08-02,11:40:00
53555,2026-08-02 12:20:00,NE_000019,DEV_000019,,2115157.286486007,,,,,,104.82501410710391,46.007529230239115,,,,,,95.81004423246837,,,68442.65589091076,49.20181599812386,1302731.1917788493,964073.8338778939,1369203.490564047,2026-08-02,12:20:00
53416,2026-08-02 13:00:00,NE_000019,DEV_000019,,2098734.1820997386,,,,,,100.57077311759431,43.753401403590296,,,,,,95.8820780275888,,,57090.91495976636,41.17256407538618,1255248.6983636222,944723.0573302095,1320161.527646388,2026-08-02,13:00:00
53322,2026-08-02 13:25:00,NE_000019,DEV_000019,,2030548.297829201,,,,,,100.69840699787224,44.3975103814255,,,,,,95.15183730605143,,,57326.31290283926,39.056789437228254,1193439.9573378307,1007569.2354788039,1318816.5519940676,2026-08-02,13:25:00
53015,2026-08-02 14:50:00,NE_000019,DEV_000019,,1985707.4059197195,,,,,,96.56159833475554,45.37285895664005,,,,,,99.07644104102089,,,58439.73439757815,37.51742529958157,1211945.1216204895,1010927.05398398,1394261.9814521507,2026-08-02,14:50:00
52617,2026-08-02 16:40:00,NE_000019,DEV_000019,,1965043.49553129,,,,,,104.18065992911983,46.733007780941435,,,,,,102.15866965024694,,,57279.79895990027,39.169318562029076,1208103.2418457284,954215.1087914598,1339890.0199331478,2026-08-02,16:40:00
52577,2026-08-02 16:50:00,NE_000019,DEV_000019,,2001935.734385597,,,,,,99.93636491562769,43.51441876907107,,,,,,94.84192665300584,,,58997.35013084572,36.77315082559183,1228166.1291524782,979676.2700978611,1383498.9032565248,2026-08-02,16:50:00
52109,2026-08-02 19:00:00,NE_000019,DEV_000019,,1979495.3943061044,,,,,,100.74946568985584,44.69390901121492,,,,,,103.08165160212509,,,58525.181367668396,38.35359106789277,1244223.5563238505,1025292.0867897685,1405218.6481358137,2026-08-02,19:00:00
52095,2026-08-02 19:05:00,NE_000019,DEV_000019,,1998100.500488357,,,,,,97.52015551354464,45.500464724171884,,,,,,95.47345680960034,,,59765.98113941616,40.192624589463286,1312332.1648743758,938076.6423955668,1339175.3032009287,2026-08-02,19:05:00
51943,2026-08-02 19:50:00,NE_000019,DEV_000019,,2032237.0825772649,,,,,,102.41084116332435,44.913444048269625,,,,,,103.24971593878871,,,69920.65718298666,47.98211476613586,1287872.413434976,974641.4618630811,1298269.2837548896,2026-08-02,19:50:00
51867,2026-08-02 20:10:00,NE_000019,DEV_000019,,2027567.0638551326,,,,,,104.73585055020305,47.580193880552045,,,,,,102.6603292331625,,,68690.58119987618,49.93994524604335,1226952.3241032483,963347.5046434384,1341739.8500203534,2026-08-02,20:10:00
51586,2026-08-02 21:30:00,NE_000019,DEV_000019,,1957511.8608654928,,,,,,97.24928063757638,45.02282771838913,,,,,,103.93407822068365,,,78664.59283876994,54.681963490917795,1228587.9238992187,942261.6230839718,1276988.194408156,2026-08-02,21:30:00
